Time (s)	Throttle (u)	Thrust (N)
8.7030	664	3.179918
8.7140	591	2.938776
8.7260	519	2.668671
8.7370	450	2.366450
8.7500	385	2.022728
8.7610	327	1.657373
8.7730	279	1.295795
8.7840	241	0.966064
8.7970	215	0.677923
8.8080	202	0.425138
8.8200	202	0.220112
8.8320	216	0.061861
8.8440	243	-0.048675
8.8550	282	-0.122828
8.8660	332	-0.165670
8.8790	392	-0.171995
8.8900	458	-0.135187
8.9020	530	-0.057659
8.9130	603	0.050441
8.9260	677	0.198523
8.9370	749	0.400018
8.9490	815	0.660491
8.9610	874	0.973684
8.9730	923	1.319239
8.9840	961	1.675163
8.9960	986	2.038439
9.0080	998	2.402409
9.0200	995	2.732297
9.0310	979	3.014091
9.0440	949	3.236325
9.0550	907	3.388653
9.0670	853	3.462225
9.0780	791	3.444838
9.0910	721	3.346437
9.1020	647	3.160586
9.1140	571	2.922864
9.1250	496	2.644266
9.1370	425	2.319049
9.1490	360	1.938519
9.1600	304	1.550837
9.1730	258	1.192410
9.1840	225	0.871842
9.1960	206	0.584282
9.2070	201	0.344973
9.2200	210	0.156507
9.2310	235	0.007353
9.2430	272	-0.091406
9.2540	322	-0.142137
9.2670	383	-0.161424
9.2780	451	-0.133287
9.2900	526	-0.076231
9.3020	603	0.025701
9.3140	680	0.188019
9.3250	754	0.396107
9.3370	822	0.664894
9.3490	882	0.980166
9.3610	931	1.321407
9.3720	968	1.676370
9.3850	991	2.048385
9.3960	999	2.419506
9.4070	991	2.751249
9.4190	968	3.037333
9.4310	931	3.253087
9.4430	881	3.389481
9.4540	820	3.443140
9.4660	751	3.385123
9.4780	675	3.244527
9.4900	596	3.028126
9.5010	518	2.760076
9.5140	442	2.453923
9.5250	373	2.093931
9.5370	312	1.700908
9.5480	263	1.310769
9.5610	227	0.962957
9.5720	206	0.652490
9.5840	201	0.391190
9.5950	211	0.191930
9.6080	237	0.026930
9.6190	278	-0.083897
9.6310	332	-0.144439
9.6430	396	-0.154518
9.6550	469	-0.125599
9.6660	547	-0.057212
9.6770	628	0.053212
9.6900	707	0.217273
9.7010	782	0.445564
9.7130	850	0.741393
9.7240	907	1.080243
9.7370	952	1.429216
9.7480	983	1.805142
9.7600	997	2.194120
9.7720	995	2.555117
9.7840	977	2.881988
9.7950	943	3.133231
9.8070	894	3.297963
9.8190	833	3.391402
9.8310	763	3.381256
9.8420	685	3.265937
9.8550	603	3.062632
9.8660	522	2.790359
9.8780	443	2.476405
9.8890	371	2.125286
9.9020	309	1.742343
9.9130	259	1.347041
9.9240	223	0.984792
9.9360	204	0.655530
9.9490	202	0.391414
9.9600	216	0.176956
9.9710	248	0.016605
9.9840	294	-0.080924
9.9950	354	-0.127946
10.0070	425	-0.131857
10.0180	503	-0.106960
10.0310	586	-0.020248
10.0420	669	0.118381
10.0540	749	0.309372
10.0650	823	0.563409
10.0780	887	0.874859
10.0890	939	1.225218
10.1010	975	1.613816
10.1130	995	2.011420
10.1250	997	2.402297
10.1360	982	2.753908
10.1480	949	3.040842
10.1600	901	3.252662
10.1720	839	3.379021
10.1830	766	3.379200
10.1950	686	3.266429
10.2070	601	3.068823
10.2180	517	2.793555
10.2300	436	2.477232
10.2420	362	2.114067
10.2540	300	1.726609
10.2650	251	1.334168
10.2770	217	0.967315
10.2890	202	0.637293
10.3010	204	0.360573
10.3120	225	0.144596
10.3250	263	-0.001095
10.3360	317	-0.086176
10.3480	384	-0.129153
10.3590	462	-0.127834
10.3720	545	-0.080343
10.3830	632	0.017700
10.3950	716	0.187505
10.4060	796	0.423730
10.4190	866	0.715245
10.4300	924	1.052463
10.4420	967	1.429619
10.4540	992	1.829480
10.4650	998	2.227352
10.4770	986	2.601111
10.4880	955	2.929323
10.5010	907	3.170687
10.5120	844	3.318524
10.5240	769	3.357164
10.5350	686	3.284196
10.5480	599	3.104290
10.5590	512	2.847907
10.5710	429	2.520231
10.5830	354	2.126404
10.5950	291	1.699165
10.6060	243	1.291661
10.6180	212	0.932518
10.6300	201	0.612285
10.6420	209	0.342649
10.6530	236	0.145311
10.6660	281	0.007174
10.6770	342	-0.082511
10.6890	416	-0.111900
10.7000	499	-0.099049
10.7130	587	-0.024449
10.7240	676	0.099027
10.7350	761	0.286554
10.7470	838	0.539205
10.7590	903	0.864668
10.7710	953	1.242002
10.7820	986	1.649797
10.7950	998	2.070733
10.8060	991	2.469053
10.8180	963	2.829156
10.8290	918	3.111888
10.8420	855	3.294946
10.8530	780	3.361634
10.8650	695	3.304109
10.8760	606	3.130013
10.8890	515	2.874144
10.9000	430	2.549105
10.9120	352	2.171190
10.9240	288	1.761741
10.9360	240	1.362975
10.9470	210	0.973483
10.9590	201	0.626119
10.9710	212	0.350404
10.9830	244	0.141243
10.9940	294	0.005140
11.0060	361	-0.078175
11.0180	440	-0.107139
11.0290	527	-0.081595
11.0410	619	0.004984
11.0530	710	0.158072
11.0650	795	0.374697
11.0760	869	0.666279
11.0880	930	1.015342
11.1000	972	1.395403
11.1120	995	1.804718
11.1230	997	2.220156
11.1360	977	2.608731
11.1470	937	2.941726
11.1590	878	3.172565
11.1700	805	3.299036
11.1830	720	3.300421
11.1940	628	3.179359
11.2060	535	2.954286
11.2170	446	2.660133
11.2300	364	2.292901
11.2410	296	1.875988
11.2530	244	1.441843
11.2650	212	1.040976
11.2770	201	0.682996
11.2880	212	0.385916
11.2990	244	0.165022
11.3120	296	0.020740
