Time (s)	Throttle (u)	Thrust (N)
6.416	100	0.075248
6.428	100	0.068163
6.439	100	0.068342
6.451	100	0.072879
6.463	100	0.078555
6.475	100	0.067828
6.486	100	0.068297
6.499	100	0.072901
6.510	100	0.066912
6.522	100	0.074935
6.533	100	0.076388
6.546	100	0.073907
6.557	100	0.074622
6.569	100	0.073706
6.581	100	0.068677
6.593	100	0.070175
6.604	100	0.067850
6.616	100	0.068543
6.628	100	0.074019
6.640	100	0.075360
6.651	100	0.075985
6.662	100	0.071940
6.675	100	0.074868
6.686	100	0.068767
6.698	100	0.071359
6.710	100	0.065794
6.722	100	0.069370
6.733	100	0.075918
6.745	100	0.078555
6.757	100	0.076097
6.769	100	0.070420
6.780	100	0.074019
6.792	100	0.067672
6.804	100	0.071002
6.816	100	0.073817
6.827	100	0.076410
6.840	100	0.069124
6.851	100	0.068588
6.863	100	0.075807
6.874	100	0.079941
6.887	100	0.076477
6.898	100	0.068320
6.910	100	0.067470
6.921	100	0.068409
6.934	100	0.072946
6.945	100	0.074376
6.956	100	0.069415
6.969	100	0.072901
6.981	100	0.075315
6.992	100	0.079405
7.003	100	0.070666
7.016	100	0.061392
7.027	100	0.064520
7.039	100	0.071918
7.051	100	0.074801
7.063	100	0.076432
7.074	100	0.078019
7.086	100	0.073706
7.098	100	0.069929
7.110	100	0.067269
7.121	100	0.066532
7.133	100	0.069728
7.145	100	0.063291
7.157	100	0.062598
7.168	100	0.069281
7.181	100	0.068722
7.192	100	0.066241
7.204	100	0.068007
7.215	100	0.069258
7.228	100	0.070644
7.239	100	0.069527
7.250	100	0.069616
7.262	100	0.076432
7.275	100	0.076410
7.286	100	0.081371
7.297	100	0.080835
7.310	100	0.077572
7.321	100	0.072633
7.333	100	0.073817
7.344	100	0.080634
7.357	100	0.079226
7.368	100	0.079002
7.380	100	0.075851
7.392	100	0.072097
7.404	100	0.069348
7.415	100	0.068029
7.427	100	0.071650
7.439	100	0.068163
7.451	100	0.070242
7.462	100	0.075717
7.474	100	0.071381
7.486	100	0.071873
7.498	100	0.075002
7.509	100	0.073974
7.522	100	0.071918
7.533	100	0.068744
